player,team,league,poacher_score,outlet_score,deep_lying_score,dribbler_score,creator_score,target_man_score,age
Tarik Tissoudali,Gent,BEL-Pro League,86.60622656898015,60.550934848781225,41.01895050756318,87.34559703820933,83.5645398544294,39.04338854237592,31
Dylan Mbayo,Kortrijk,BEL-Pro League,50.88966938012875,75.50134347485101,48.28882203102971,99.20348056834844,40.76999957068904,15.36836970731185,22
Felipe Avenatti,Kortrijk,BEL-Pro League,46.016422256888866,49.85957014515106,67.05568454224374,51.22479509336071,69.27935492369701,84.5446919404933,30
Isaak Davies,Kortrijk,BEL-Pro League,67.8771257830944,83.64785849157099,22.07920448571699,72.11840801026283,33.8814756898592,66.93278669668821,22
Mounaim El Idrissy,Kortrijk,BEL-Pro League,38.95934443632669,64.19270779517308,61.83169062267424,48.464551497451,45.880139551487716,73.4548643847423,25
Lion Lauberbach,Mechelen,BEL-Pro League,52.23913236688556,65.27961452199393,44.40077353656379,54.680035690010754,62.01491607132791,76.69754371381788,26
Norman Bassette,Mechelen,BEL-Pro League,66.6629040802469,85.60154139147409,28.07183285896455,74.32866043732085,43.961648561189335,68.02400899799379,19
Ignace N'Dri,OH Leuven,BEL-Pro League,55.75888403700954,82.93219293417013,26.13916037022843,100.0,70.22780056619875,37.03614977917259,23
Jonatan Braut Brunes,OH Leuven,BEL-Pro League,59.757099679903384,49.353845661917816,52.94478128384079,40.48697177383243,69.71117656406514,68.40789420853778,23
Jón Dagur Þorsteinsson,OH Leuven,BEL-Pro League,47.99458739239451,60.594554575745676,58.43974220299675,90.71201556561932,87.31585968926251,42.73280068567216,25
Mathieu Maertens,OH Leuven,BEL-Pro League,53.27209324142414,44.16532374837574,49.931680606482324,49.36807125290654,62.471623405719235,64.92236377416256,29
Nachon Nsingi,OH Leuven,BEL-Pro League,48.58454103722485,77.97691706666208,42.962682512021004,77.86644387057888,74.42464370168462,60.0209203707736,23
Nathan Opoku,OH Leuven,BEL-Pro League,56.45943263766181,61.99808881017043,17.35468795399222,63.5051989290416,84.05840168476136,67.765714796957,22
Makhtar Gueye,RWD Molenbeek,BEL-Pro League,64.5464065111548,68.22726468878136,51.35222223668781,58.69623646396431,62.691527332563034,95.80831652280575,26
Mickaël Biron,RWD Molenbeek,BEL-Pro League,60.111933019623585,58.790171440766755,46.80418858871742,86.67856151473373,71.22613874690566,14.01193908505939,26
Pathé Mboup,RWD Molenbeek,BEL-Pro League,,,,,,,20
Fatih Kaya,Sint-Truiden,BEL-Pro League,53.7673168766758,60.31628150364997,36.553123133426034,54.79388264608206,67.58539287200236,68.27100636805731,24
Kahveh Zahiroleslam,Sint-Truiden,BEL-Pro League,60.019142303802354,66.06421630826841,30.785460258974958,59.22855485747998,51.74333765023496,72.59905670011064,21
Kamal Sowah,Standard Liège,BEL-Pro League,41.011108905441134,36.47401583681726,68.24664431933954,64.77145148449614,73.09421261883374,36.81183768639784,24
Wilfried Kanga,Standard Liège,BEL-Pro League,66.06532528799035,73.66804265225511,30.959512631883467,59.644726108860546,65.84983204374858,77.91637657484134,26
Dennis Eckert,Union SG,BEL-Pro League,75.10708925424025,69.3003051191919,47.558972988782934,64.46897713207443,78.53793544659,65.22473459438353,27
Gustaf Nilsson,Union SG,BEL-Pro League,75.62649328628042,58.362925374715424,36.18783102376698,60.02515841071162,75.5741674406449,73.27394077810337,26
Mohamed El Amine Amoura,Union SG,BEL-Pro League,91.1958484325226,83.6712932848401,39.26423578369582,97.57666646292206,72.1824707801503,44.68416921440711,23
Erdon Daci,Westerlo,BEL-Pro League,64.09953185907901,70.62667927787165,54.68049949966414,58.24630714969731,62.57396414836543,66.22660094467018,25
Kyan Vaesen,Westerlo,BEL-Pro League,58.33048503230961,60.141211533811976,54.13039758384649,60.042472223038544,81.05574859166083,70.38362469108944,23
Lucas Stassin,Westerlo,BEL-Pro League,70.27561331158535,60.70423443617226,45.73836537090153,66.84604280844053,75.4501142637357,49.284471491675866,19
Matija Frigan,Westerlo,BEL-Pro League,,,,,,,21
Romeo Vermant,Westerlo,BEL-Pro League,70.49719479772196,37.61264162793232,19.789396551909945,27.912714468771306,63.985754481032856,77.0703621447299,20
Yusuke Matsuo,Westerlo,BEL-Pro League,38.04881307933096,69.05271194436907,60.421036685299676,80.41338951274744,79.33906296349922,38.9857631419451,26
Ademola Lookman,Atalanta,ITA-Serie A,61.116160702491754,59.45744775774568,63.167882090667185,80.73191410583613,82.59032008366862,35.28121891847682,26
Aleksei Miranchuk,Atalanta,ITA-Serie A,54.720556296151,50.845441380236686,67.89730632976281,75.14562731213634,97.88432542926117,30.016324706816288,28
Charles De Ketelaere,Atalanta,ITA-Serie A,61.16419951184648,73.6063341313886,44.408339086690695,82.03702586726229,87.60730928721495,59.34677064188914,23
Gianluca Scamacca,Atalanta,ITA-Serie A,72.22675823344072,59.019968715985115,54.05931218367716,51.89595498861196,70.16616633214723,58.48958521223222,25
Joshua Zirkzee,Bologna,ITA-Serie A,48.33361338939495,40.35020118949485,51.590509157742005,61.10583468713928,73.08850502502783,50.390396277336144,22
Andrea Petagna,Cagliari,ITA-Serie A,48.82888579455967,63.21360395036076,46.89054643526897,52.99159099718479,88.2258926166575,70.95809089388277,28
Eldor Shomurodov,Cagliari,ITA-Serie A,59.6635287840089,68.25988565344102,76.0214889014277,53.21001460801409,82.00331159543062,59.02244128734843,28
Gaetano Oristanio,Cagliari,ITA-Serie A,50.28879888368992,83.3959233625249,43.90843305040815,83.29661047187896,82.08737554768727,56.458220205439716,21
Gianluca Gaetano,Cagliari,ITA-Serie A,59.38787745621953,69.8733508380528,71.85447035337766,72.37582333199684,78.8517288278379,37.85356598892035,23
Gianluca Lapadula,Cagliari,ITA-Serie A,69.55377856318277,39.66357102593857,57.325480999524295,20.289074305452598,49.94317204674791,64.24486559118606,34
Leonardo Pavoletti,Cagliari,ITA-Serie A,80.54068393002466,11.58851575825935,49.075731366777795,0.0,69.73075417807284,89.82060033652752,35
Zito Luvumbo,Cagliari,ITA-Serie A,64.89583531430495,83.64573049148348,32.12103306815765,93.04716044648228,79.58614105702888,32.56244215600458,22
Alberto Cerri,Empoli,ITA-Serie A,49.53159642927801,45.86403295067948,48.65871205816318,39.248212901139745,30.21037092296738,79.84858542018938,28
Francesco Caputo,Empoli,ITA-Serie A,53.604703939093454,39.11931906870754,45.76490255954074,33.93833600295017,73.25960052816718,58.53271057680729,36
M'Baye Niang,Empoli,ITA-Serie A,58.9144834632922,0.0,32.37845815876055,18.35455134389589,67.02135863583112,41.37153413787453,29
Andrea Belotti,Fiorentina,ITA-Serie A,41.68900020168678,56.768529798872294,72.90652264548486,32.280488594867904,54.06064991814458,72.33970357497412,30
Lucas Beltrán,Fiorentina,ITA-Serie A,57.580851246762506,29.348127569202344,25.95092594668415,30.025918151198038,76.2541564547534,60.64376203431525,23
M'Bala Nzola,Fiorentina,ITA-Serie A,55.397558465670905,66.92548582781474,21.80830748488448,54.969970911845465,71.40901524322031,74.54455070329786,27
Kaio Jorge,Frosinone,ITA-Serie A,67.95972647918389,46.61653954357226,39.76664800366471,46.99011495248836,63.06162086330336,54.53730030206949,22
Marvin Cuni,Frosinone,ITA-Serie A,60.79790207086771,54.573488002492795,20.019243182571074,45.876778652669834,58.75735519893035,67.47056590587442,22
Walid Cheddira,Frosinone,ITA-Serie A,46.15754753738783,52.229898338561,58.185602745122175,34.46564299824271,54.64005026415497,66.75722588958345,26
Albert Guðmundsson,Genoa,ITA-Serie A,46.779344968958895,43.19128278097094,75.87751111398761,76.68724118343309,90.70773961409519,14.181554805754642,26
Caleb Ekuban,Genoa,ITA-Serie A,56.417405887259605,60.18077971516313,31.808071920719893,49.903097601047605,71.64111228149554,67.08253576515017,30
Mateo Retegui,Genoa,ITA-Serie A,57.76800044229709,43.66643770330181,41.35868900323649,33.53232669291218,50.40101635601621,74.11094464683963,24
Federico Bonazzoli,Hellas Verona,ITA-Serie A,53.707103415925886,45.43343490790432,65.68227531762328,53.11608884545508,66.50332915908062,38.21133084455893,26
Milan Đurić,Hellas Verona,ITA-Serie A,57.76237384266428,26.829484278054018,51.459186595335396,15.584565305999751,76.17026773207994,95.95434085921947,33
Tijjani Noslin,Hellas Verona,ITA-Serie A,25.787095926913654,55.185674203844094,92.75635978011331,33.29615677607509,78.61088845476696,71.14583841864831,24
Alexis Sánchez,Inter,ITA-Serie A,50.693995447942164,47.11132348467095,70.60748273174903,46.04923697178002,93.1607995143408,46.06452646440942,35
Lautaro Martínez,Inter,ITA-Serie A,72.15456537240345,49.61848418293279,57.233160826831366,62.72196578783965,68.4720527645562,53.78772175237599,26
Marcus Thuram,Inter,ITA-Serie A,71.4688066978423,73.30053012024874,50.12774630845278,65.58039388926612,69.26618440860787,68.8592564209675,26
Marko Arnautović,Inter,ITA-Serie A,73.21447827104842,19.216309181344172,42.86283430623117,35.037119141706214,90.80071075139732,32.40260734945273,35
Arkadiusz Milik,Juventus,ITA-Serie A,66.82884224029742,50.418135901062314,62.004823588288836,43.84125175842204,81.63645386962443,65.60500615274829,30
