player,team,league,deep_lying_playmaker_score,ball_winner_score,dribbler_score,final_third_score,age
Brenden Aaronson,Union Berlin,GER-Bundesliga,46.593876973528154,48.91391777060055,73.79007894422857,76.8507193411414,23
Janik Haberer,Union Berlin,GER-Bundesliga,53.49137798540697,62.50607111838487,45.9961898199986,47.20445914981446,30
Lucas Tousart,Union Berlin,GER-Bundesliga,53.311815511122575,69.27592426776084,50.530851358944176,49.496668635125815,27
Rani Khedira,Union Berlin,GER-Bundesliga,46.55935719423757,58.839497516268544,29.05564362831648,26.21505907104274,30
Christian Groß,Werder Bremen,GER-Bundesliga,59.538407243424054,55.38621546187444,53.6665005236116,21.954591435724513,35
Jens Stage,Werder Bremen,GER-Bundesliga,71.05880964984844,72.06220991647922,60.88172696050355,61.36623065596909,27
Leonardo Bittencourt,Werder Bremen,GER-Bundesliga,61.96769702865376,62.088899187584445,79.5722786439052,69.03852758057371,30
Romano Schmid,Werder Bremen,GER-Bundesliga,71.25171329284271,66.72780404704217,83.58681432297405,82.23168294493217,24
Senne Lynen,Werder Bremen,GER-Bundesliga,66.53142015091088,85.52718274929681,48.27940923764167,30.257533190237968,25
Mattias Svanberg,Wolfsburg,GER-Bundesliga,63.540173187535885,68.95952525740819,65.37865831109181,67.14466633417848,25
Maximilian Arnold,Wolfsburg,GER-Bundesliga,85.7586818407399,75.7653755269006,62.83808878404944,44.16996223353697,29
Hugo Magnetti,Brest,FRA-Ligue 1,66.73975100636441,75.01755557848566,71.15589903759036,59.412084421797026,25
Habib Keita,Clermont Foot,FRA-Ligue 1,53.508688098227594,70.55513358110926,50.764764973602205,39.759533024983156,21
Johan Gastien,Clermont Foot,FRA-Ligue 1,89.90265645076929,76.52550077050877,66.42342158848376,35.28469560057589,35
Maxime Gonalons,Clermont Foot,FRA-Ligue 1,67.6766440242749,72.00471144981742,45.43056052979012,26.536543175064576,34
Yohann Magnin,Clermont Foot,FRA-Ligue 1,60.31446054273641,76.7137428973738,41.53354966835051,41.896096379738914,26
Abdoulaye Touré,Le Havre,FRA-Ligue 1,82.37715235193411,74.65482018531212,70.87333251947605,50.770422233469134,29
Daler Kuzyaev,Le Havre,FRA-Ligue 1,72.90658925895637,64.26785020892325,63.28911341995828,51.757600017376326,30
Emmanuel Sabbi,Le Havre,FRA-Ligue 1,37.25278105879176,68.14410345509877,64.4744384897733,81.31453538473068,25
Loïc Nego,Le Havre,FRA-Ligue 1,62.981795428615825,62.05352884672083,71.91915264477471,62.95870091041172,32
Oussama Targhalline,Le Havre,FRA-Ligue 1,71.47712111280624,50.427508809075306,75.13600416468138,34.11192153673489,21
Rassoul Ndiaye,Le Havre,FRA-Ligue 1,35.53201775608692,33.92675638803565,43.669938728887224,42.239353467008115,21
Yassine Kechta,Le Havre,FRA-Ligue 1,76.10881356917564,69.82343061254063,75.05271517847838,53.182650496691686,21
Andy Diouf,Lens,FRA-Ligue 1,54.845569678948415,51.46856131910392,79.70916776879126,64.76810339975194,20
Nampalys Mendy,Lens,FRA-Ligue 1,68.85902843662771,60.10333311812055,59.35301136387186,51.547886840511524,31
Neil El Aynaoui,Lens,FRA-Ligue 1,53.52364092509685,73.53778395109627,59.580646106785,52.46027908078356,22
Salis Abdul Samed,Lens,FRA-Ligue 1,62.27021062062651,57.38581804021179,49.37065515903376,41.26448422653974,23
Imran Louza,Lorient,FRA-Ligue 1,66.16274751418514,37.63598468301197,56.96430985172795,67.97948897667271,24
Jean-Victor Makengo,Lorient,FRA-Ligue 1,31.67526600480779,31.222858550695626,44.43371264445425,23.804909612209702,25
Laurent Abergel,Lorient,FRA-Ligue 1,91.05349469420278,88.19552261084189,82.95401014040623,38.816436097140496,30
Tiemoué Bakayoko,Lorient,FRA-Ligue 1,55.36168804162036,57.04619612026093,47.297157695091066,45.871529526974186,28
Corentin Tolisso,Lyon,FRA-Ligue 1,80.397390283697,65.3365156760021,58.97347112234367,59.215751143405335,28
Maxence Caqueret,Lyon,FRA-Ligue 1,94.94830677264748,94.95614270427531,86.11764341461547,59.11184439109841,23
Nemanja Matić,Lyon,FRA-Ligue 1,79.05468633033578,55.683785463502744,72.162128076384,38.09445059246747,34
Amine Harit,Marseille,FRA-Ligue 1,65.71959860726516,69.20400650084319,83.20521224115147,77.55002880096939,26
Azzedine Ounahi,Marseille,FRA-Ligue 1,65.58477909521734,49.99531922967945,64.81432577132371,57.014139686302045,23
Geoffrey Kondogbia,Marseille,FRA-Ligue 1,70.69620073545485,79.98137517981579,45.01472301972188,25.08474183722343,30
Jean Onana,Marseille,FRA-Ligue 1,45.33894140031314,55.91639723698337,45.31083898827981,41.00936704471529,23
Jordan Veretout,Marseille,FRA-Ligue 1,85.22602801170048,69.42887638005192,72.0431967513871,67.7790880881018,30
Pape Gueye,Marseille,FRA-Ligue 1,59.000432609619494,67.14262715271066,35.79528799127706,34.331708733255816,24
Valentin Rongier,Marseille,FRA-Ligue 1,63.22657238763226,60.78910586947895,54.11179707352154,48.39148563835563,28
Arthur Atta,Metz,FRA-Ligue 1,54.48578654913444,45.92162738711041,59.13686137579484,48.49481037532535,20
Danley Jean-Jacques,Metz,FRA-Ligue 1,72.65914801566812,80.00242679580623,71.07770234594423,61.431754370886,23
Joseph Nduquidi,Metz,FRA-Ligue 1,36.33560286138363,32.22095173544627,31.639102959016547,32.51435204499298,18
Kévin N'Doram,Metz,FRA-Ligue 1,70.33909412379533,59.01625470757171,52.12022484623532,25.527865437498125,27
Lamine Camara,Metz,FRA-Ligue 1,75.64126591656219,77.67932740624916,71.46325318745407,60.390373779187215,19
Denis Zakaria,Monaco,FRA-Ligue 1,75.34187575918637,85.12505891364896,75.19194310154772,42.540628181682564,26
Mohamed Camara,Monaco,FRA-Ligue 1,62.98462017268627,58.76059999234025,54.044453576141706,53.890719388751705,23
Youssouf Fofana,Monaco,FRA-Ligue 1,92.059470205585,88.9278374254294,84.28081400929571,66.89030527995443,24
Douglas,Nantes,FRA-Ligue 1,79.43882949122938,76.2745208097345,51.54008663758749,39.45093972614497,26
Moussa Sissoko,Nantes,FRA-Ligue 1,63.38366333677846,50.06830950310223,68.13733740832878,50.89421774874581,33
Pedro Chirivella,Nantes,FRA-Ligue 1,93.9838562561765,73.80119491787121,54.10930462643476,40.36108287931554,26
Samuel Moutoussamy,Nantes,FRA-Ligue 1,57.06399886590042,59.687479176784706,55.515381760004324,64.61023393115725,26
Alexis Claude-Maurice,Nice,FRA-Ligue 1,17.95900575981252,28.50599118334234,50.84067625286769,66.10492348724127,25
Hicham Boudaoui,Nice,FRA-Ligue 1,58.3210321494193,63.839737183035375,65.15081768916485,67.20150045658221,23
Khéphren Thuram,Nice,FRA-Ligue 1,66.95813724556662,70.66021947344699,83.79647727444619,72.43815376663136,22
Morgan Sanson,Nice,FRA-Ligue 1,51.390687215938414,73.04084893782371,67.5552388982475,76.80643123307962,28
Youssouf Ndayishimiye,Nice,FRA-Ligue 1,73.46766698843255,60.67799924121638,63.195044972852074,27.65076233006671,24
Carlos Soler,Paris S-G,FRA-Ligue 1,56.24082497328388,47.61649819205076,46.38175093748006,55.22563391213576,26
Fabián Ruiz Peña,Paris S-G,FRA-Ligue 1,60.589658833849214,64.11197686595739,58.793466636092276,54.17435689182457,27
Lee Kang-in,Paris S-G,FRA-Ligue 1,58.146310065221485,48.51069330137279,73.38790471445216,69.01449476897744,22
Manuel Ugarte Ribeiro,Paris S-G,FRA-Ligue 1,60.02867977380494,95.41447852747022,55.277969218380804,27.329720750046437,22
Vitinha,Paris S-G,FRA-Ligue 1,77.23903491424844,80.82870608265787,74.1409562958208,54.176010170445146,23
Warren Zaire-Emery,Paris S-G,FRA-Ligue 1,61.616411587702956,82.51351857564485,69.35866344207227,53.00612397210087,17
Amadou Koné,Reims,FRA-Ligue 1,38.5631646253472,42.0099205637553,13.470675086050809,30.107626822182233,18
Amir Richardson,Reims,FRA-Ligue 1,57.63912851357684,71.13487258098408,59.31758687389379,56.73947818592661,21
Azor Matusiwa,Reims,FRA-Ligue 1,67.62575302229664,77.23593777480102,52.65006753234252,37.38986459672115,25
Marshall Munetsi,Reims,FRA-Ligue 1,54.13739658521559,74.72122942277426,45.25299064624702,69.65217387792566,27
Teddy Teuma,Reims,FRA-Ligue 1,80.86201620888772,81.70633289745017,72.97122016968316,56.95049284172635,29
Valentin Atangana Edoa,Reims,FRA-Ligue 1,27.677459108399955,42.24410073554725,31.823159068366547,54.62039503450078,17
